Speed_kmh,RPM,Throttle,Brake,Steering,Gear,Timestamp,CompletedLaps,DistanceTraveled_m,CurrentSectorIndex,IsInPit
-2.2760091398715727,-0.6298763664531686,-0.5563831682732682,-0.30752190991321987,-0.06591876864839649,-2.427312124504104,1765206845,6,38876.941,1,False
-2.2720823701312463,-0.7429663442801174,-0.5839149569471738,-0.30752190991321987,-0.06591876864839649,-2.427312124504104,1765206845,6,38879.184,1,False
-2.2714053408656723,-0.9144491864752293,-0.6114467456210795,-0.30752190991321987,-0.055178430287218555,-2.427312124504104,1765206845,6,38881.348,1,False
-2.2749258930466545,-0.9284930399308634,-0.5839149569471738,-0.30752190991321987,-0.060548599467807517,-2.427312124504104,1765206845,6,38883.629,1,False
-2.277227792549605,-0.6845734799119543,-0.5839149569471738,-0.30752190991321987,-0.07128893782898546,-2.427312124504104,1765206845,6,38885.922,1,False
-2.274519675487311,-0.6062235606331532,-0.5839149569471738,-0.30752190991321987,-0.08739944537075237,-2.427312124504104,1765206846,6,38888.082,1,False
-2.270322094040755,-0.8545780217433152,-0.6114467456210795,-0.30752190991321987,-0.11962046045428619,-2.427312124504104,1765206846,6,38890.375,1,False
-2.2720823701312463,-0.9366236919314938,-0.6114467456210795,-0.30752190991321987,-0.15721164471840898,-2.427312124504104,1765206846,6,38892.684,1,False
-2.2750612988997694,-0.9721029006615168,-0.5839149569471738,-0.30752190991321987,-0.19480282898253176,-2.427312124504104,1765206846,6,38894.844,1,False
-2.276686169137146,-0.8131856115582882,-0.5839149569471738,-0.30752190991321987,-0.1894326598019428,-2.427312124504104,1765206846,6,38897.152,1,False
-2.2770923866964905,-0.7259658900969813,-0.5839149569471738,-0.30752190991321987,-0.1894326598019428,-2.427312124504104,1765206846,6,38899.332,1,False
-2.2728948052499343,-0.7459229450076194,-0.5839149569471738,-0.30752190991321987,-0.19480282898253176,-2.427312124504104,1765206846,6,38901.621,1,False
-2.2704574998938694,-0.8575346224708171,-0.6114467456210795,-0.30752190991321987,-0.21091333652429867,-2.427312124504104,1765206846,6,38903.918,1,False
-2.2720823701312463,-0.926275589385237,-0.6114467456210795,-0.30752190991321987,-0.23239401324665457,-2.427312124504104,1765206846,6,38906.074,1,False
-2.2746550813404256,-0.9270147395671124,-0.5839149569471738,-0.30752190991321987,-0.2431343516078325,-2.427312124504104,1765206846,6,38908.363,1,False
-2.2774986042558343,-0.7496186959169967,-0.5839149569471738,-0.30752190991321987,-0.25924485914959944,-2.427312124504104,1765206847,6,38910.547,1,False
-2.276279951577802,-0.6542683224550595,-0.5839149569471738,-0.30752190991321987,-0.22702384406606557,-2.427312124504104,1765206847,6,38912.801,1,False
-2.272353181837475,-0.7503578460988722,-0.5839149569471738,-0.30752190991321987,-0.21091333652429867,-2.427312124504104,1765206847,6,38915.098,1,False
-2.27018668818764,-0.8530997213795642,-0.6114467456210795,-0.30752190991321987,-0.23239401324665457,-2.427312124504104,1765206847,6,38917.309,1,False
-2.2501466219266626,0.2519298005242817,0.4898248013351449,-0.30752190991321987,-0.329057058497256,-2.427312124504104,1765206847,6,38919.602,1,False
-2.1855580299909456,0.5705035289126146,0.4898248013351449,-0.30752190991321987,-0.3022062125943112,-2.427312124504104,1765206847,6,38921.863,1,False
-2.1198861912303104,1.5454426188063757,-2.263354066055416,-0.30752190991321987,-0.23239401324665457,-2.899491071631648,1765206847,6,38924.367,1,False
-2.0547559758821343,-1.677252174170727,0.4898248013351449,-0.30752190991321987,-0.2216536748854766,-1.9551331773765601,1765206847,6,38927.027,1,False
-1.988407107855926,-1.3749397497836546,0.4898248013351449,-0.30752190991321987,-0.3022062125943112,-1.9551331773765601,1765206847,6,38929.566,1,False
-1.9679608240356048,-0.5611353995387488,-1.7127182925773035,-0.30752190991321987,-0.17869232144076488,-1.9551331773765601,1765206847,6,38932.609,1,False
-1.9041846672185756,-0.782141303919518,0.4898248013351449,-0.30752190991321987,-0.16795198307958692,-1.9551331773765601,1765206848,6,38935.598,1,False
-1.8395960752828586,-0.26177957587917844,0.4898248013351449,-0.30752190991321987,-0.16258181389899795,-1.9551331773765601,1765206848,6,38938.492,1,False
-1.7844858930651715,0.22236379324926242,0.4898248013351449,-0.30752190991321987,-0.11962046045428619,-1.9551331773765601,1765206848,6,38941.84,1,False
-1.720845142101257,0.4019772874450046,0.4898248013351449,-0.30752190991321987,-0.0820292761901634,-1.9551331773765601,1765206848,6,38945.023,1,False
-1.6520589687189837,0.6111567889157661,0.4898248013351449,-0.30752190991321987,-0.07128893782898546,-1.9551331773765601,1765206848,6,38948.688,1,False
-1.5901784938455605,1.0154719384016548,0.4898248013351449,-0.30752190991321987,-0.055178430287218555,-1.9551331773765601,1765206848,6,38952.191,1,False
-1.534255876509185,0.43376074526565034,-2.263354066055416,-0.30752190991321987,-0.039067922745451636,-1.4829542302490162,1765206848,6,38955.793,1,False
