TurboBoost,KERS_Charge,KERS_CurrentKJ,DRS_Enabled,Timestamp,CompletedLaps,DistanceTraveled_m,CurrentSectorIndex,IsInPit
-1.7414368418423014,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206845,6,38876.941,1,False
-1.7570505048567033,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206845,6,38879.184,1,False
-1.815044110338769,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206845,6,38881.348,1,False
-1.8574240528064325,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206845,6,38883.629,1,False
-1.815044110338769,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206845,6,38885.922,1,False
-1.7860473075977363,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206846,6,38888.082,1,False
-1.8306577733531715,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206846,6,38890.375,1,False
-1.8752682391086064,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206846,6,38892.684,1,False
-1.9131871350007261,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206846,6,38894.844,1,False
-1.8908819021230086,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206846,6,38897.152,1,False
-1.8819598089719216,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206846,6,38899.332,1,False
-1.8551935295186606,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206846,6,38901.621,1,False
-1.8730377158208344,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206846,6,38903.918,1,False
-1.9087260884251827,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206846,6,38906.074,1,False
-1.9310313213029,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206846,6,38908.363,1,False
-1.904265041849639,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206847,6,38910.547,1,False
-1.8730377158208344,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206847,6,38912.801,1,False
-1.8730377158208344,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206847,6,38915.098,1,False
-1.8908819021230086,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206847,6,38917.309,1,False
-1.808352540475454,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206847,6,38919.602,1,False
-1.7414368418423014,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206847,6,38921.863,1,False
-1.6477548637558876,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206847,6,38924.367,1,False
-1.5429202692306156,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206847,6,38927.027,1,False
-1.188267066474907,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206847,6,38929.566,1,False
-1.1414260774317,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206847,6,38932.609,1,False
-1.0053641568776235,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206848,6,38935.598,1,False
-0.8291528171436552,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206848,6,38938.492,1,False
-0.766698165086046,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206848,6,38941.84,1,False
-0.7265487459061545,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206848,6,38945.023,1,False
-0.6596330472730024,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206848,6,38948.688,1,False
-0.6061004883664803,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206848,6,38952.191,1,False
-0.5882563020643063,2.2289861590951374,-1.2281939692865114,1.9977060963042423,1765206848,6,38955.793,1,False
-0.3986618226037076,2.2289861590951374,-1.2278345808410578,1.9977060963042423,1765206848,6,38959.707,1,False
-0.2603693787618584,2.2289861590951374,-1.2270726773366967,1.9977060963042423,1765206848,6,38963.727,1,False
-0.14215164450995574,2.2289861590951374,-1.2260807652272452,1.9977060963042423,1765206848,6,38967.691,1,False
-0.06854437601348815,2.2289861590951374,-1.2249594732774307,1.9977060963042423,1765206849,6,38971.965,1,False
-0.021703386970281586,2.2289861590951374,-1.2237519281007072,1.9977060963042423,1765206849,6,38976.316,1,False
0.016215508921838956,2.2289861590951374,-1.2223862520079845,1.9977060963042423,1765206849,6,38980.691,1,False
0.06305649796504552,2.2289861590951374,-1.220891196074898,1.9977060963042423,1765206849,6,38985.355,1,False
0.11658905687156759,2.222096191889568,-1.2193386379905395,1.9977060963042423,1765206849,6,38990.137,1,False
0.17681318564140416,2.222096191889568,-1.2176279489901813,1.9977060963042423,1765206849,6,38994.816,1,False
0.17458266235363268,2.222096191889568,-1.2161903952083677,1.9977060963042423,1765206849,6,38999.746,1,False
0.2861088267422208,2.222096191889568,-1.2133009121069223,1.9977060963042423,1765206849,6,39004.855,1,False
0.31287510619548187,2.215206224683998,-1.2091607572152991,1.9977060963042423,1765206849,6,39009.996,1,False
0.33964138564874286,2.215206224683998,-1.2044455808109507,1.9977060963042423,1765206849,6,39015.078,1,False
0.36417714181423144,2.208316257478428,-1.1995866490284206,1.9977060963042423,1765206850,6,39020.449,1,False
0.38648237469194946,2.2014262902728583,-1.194353953262619,1.9977060963042423,1765206850,6,39025.695,1,False
0.40655708428189496,2.1945363230672883,-1.188862497816091,1.9977060963042423,1765206850,6,39031.359,1,False
0.4266317938718405,2.1876463558617183,-1.1831697848401093,1.9977060963042423,1765206850,6,39036.949,1,False
0.4444759801740145,2.1807563886561487,-1.1775633250910362,1.9977060963042423,1765206850,6,39042.305,1,False
0.46232016647618857,2.1738664214505787,-1.1717987344259637,1.9977060963042423,1765206850,6,39047.754,1,False
0.424401270584069,2.1738664214505787,-1.1672560644754328,1.9977060963042423,1765206850,6,39054.066,1,False
0.46232016647618857,2.160086487039439,-1.1581275979609162,1.9977060963042423,1765206850,6,39060.336,1,False
0.47793382949059104,2.1463065526282996,-1.1462102771096816,1.9977060963042423,1765206850,6,39066.035,1,False
0.49131696921722107,2.1325266182171596,-1.1334447995271768,1.9977060963042423,1765206850,6,39072.25,1,False
0.5047001089438521,2.11874668380602,-1.1209668327010347,1.9977060963042423,1765206851,6,39078.633,1,False
0.5180832486704822,2.0980767821893105,-1.1081151018916213,1.9977060963042423,1765206851,6,39084.57,1,False
0.5292358651093416,2.084296847778171,-1.0952777466200256,1.9977060963042423,1765206851,6,39091.109,1,False
0.5403884815482002,2.0705169133670314,-1.0824547668862483,1.9977060963042423,1765206851,6,39097.668,1,False
0.5515410979870586,2.0567369789558914,-1.0699768000601062,1.9977060963042423,1765206851,6,39103.938,1,False
0.5604631911381457,2.036067077339182,-1.0570963181750566,1.9977060963042423,1765206851,6,39110.711,1,False
0.5336969116848846,2.0291771101336122,-1.0477522185932682,1.9977060963042423,1765206851,6,39117.539,1,False
0.5515410979870586,2.0153971757224722,-1.0369849407674843,1.9977060963042423,1765206851,6,39124.043,1,False
0.5626937144259172,2.0016172413113327,-1.024808860235523,1.9977060963042423,1765206851,6,39131.004,1,False
0.5693852842892326,1.9878373069001931,-1.0119715049639275,1.9977060963042423,1765206851,6,39138.023,1,False
0.5783073774403197,1.9671674052834835,-0.9991197741545139,1.9977060963042423,1765206852,6,39144.867,1,False
0.5872294705914067,1.9533874708723438,-0.9863830476476454,1.9977060963042423,1765206852,6,39151.934,1,False
0.5939210404547222,1.9396075364612042,-0.9745807310989558,1.9977060963042423,1765206852,6,39159.184,1,False
0.6006126103180377,1.9258276020500644,-0.9631378029957195,1.9977060963042423,1765206852,6,39166.188,1,False
0.6050736568935807,1.9120476676389249,-0.9521548921026636,1.9977060963042423,1765206852,6,39173.688,1,False
0.6117652267568963,1.898267733227785,-0.9422357710081498,1.9977060963042423,1765206852,6,39180.699,1,False
0.6162262733324393,1.8913777660222153,-0.9329923001910883,1.9977060963042423,1765206852,6,39188.055,1,False
0.5961515637424937,1.8844877988166455,-0.9271127052234707,1.9977060963042423,1765206852,6,39195.719,1,False
0.6028431336058092,1.8775978316110755,-0.9202555736842197,1.9977060963042423,1765206852,6,39203.344,1,False
0.6073041801813522,1.8707078644055057,-0.9129240493969704,1.9977060963042423,1765206853,6,39210.93,1,False
0.6139957500446678,1.8569279299943662,-0.9059519135551745,1.9977060963042423,1765206853,6,39218.238,1,False
0.6184567966202117,1.8500379627887962,-0.8995404236882858,1.9977060963042423,1765206853,6,39226.051,1,False
0.6229178431957547,1.8431479955832264,-0.8930714316701246,1.9977060963042423,1765206853,6,39233.418,1,False
0.6273788897712987,1.8362580283776566,-0.8866024396519634,1.9977060963042423,1765206853,6,39241.164,1,False
0.6318399363468418,1.8293680611720868,-0.8803203296254379,1.9977060963042423,1765206853,6,39248.93,1,False
0.6363009829223848,1.8224780939665168,-0.8738369620694586,1.9977060963042423,1765206853,6,39256.547,1,False
0.6385315062101573,1.815588126760947,-0.8673679700512974,1.9977060963042423,1765206853,6,39264.375,1,False
0.6429925527857003,1.8086981595553773,-0.8610858600247719,1.9977060963042423,1765206853,6,39272.418,1,False
0.6452230760734717,1.8018081923498073,-0.8546168680066107,1.9977060963042423,1765206853,6,39279.551,1,False
