TireTemp_FL_Avg,TireTemp_FR_Avg,TireTemp_RL_Avg,TireTemp_RR_Avg,TireWear_FL,TireWear_FR,TireWear_RL,TireWear_RR,TirePressure_FL,TirePressure_FR,TirePressure_RL,TirePressure_RR,SlipRatio_FL,SlipRatio_FR,SlipRatio_RL,SlipRatio_RR,SlipAngle_FL,SlipAngle_FR,SlipAngle_RL,SlipAngle_RR,Timestamp,CompletedLaps,DistanceTraveled_m,CurrentSectorIndex,IsInPit
-0.4114107621771227,0.8609180726107153,-1.4773974471011986,-1.549581750548292,0.0,0.0,0.0,0.0,-4.177431944209547,-3.797182292418332,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206845,6,38876.941,1,False
-0.4204592203496017,0.8315817048976277,-1.4898945453616463,-1.5657248428942956,0.0,0.0,0.0,0.0,-4.177431944209547,-3.81717691440637,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206845,6,38879.184,1,False
-0.43403190760831734,0.816913521041084,-1.4898945453616463,-1.5657248428942956,0.0,0.0,0.0,0.0,-4.177431944209547,-3.81717691440637,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206845,6,38881.348,1,False
-0.44308036578079446,0.7729089694714527,-1.5023916436220939,-1.5899394814133043,0.0,0.0,0.0,0.0,-4.177431944209547,-3.81717691440637,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206845,6,38883.629,1,False
-0.45212882395327153,0.7435726017583589,-1.5086401927523176,-1.5899394814133043,0.0,0.0,0.0,0.0,-4.193561613378821,-3.81717691440637,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206845,6,38885.922,1,False
-0.46117728212575054,0.6995680501887276,-1.5211372910127654,-1.6060825737593079,0.0,0.0,0.0,0.0,-4.193561613378821,-3.81717691440637,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206846,6,38888.082,1,False
-0.4747499693844643,0.6848998663321776,-1.5273858401429892,-1.614154119932313,0.0,0.0,0.0,0.0,-4.193561613378821,-3.8371715363944006,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206846,6,38890.375,1,False
-0.4883226566431838,0.6408953147625462,-1.5398829384034367,-1.6302972122783166,0.0,0.0,0.0,0.0,-4.193561613378821,-3.8371715363944006,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206846,6,38892.684,1,False
-0.4883226566431838,0.596890763192915,-1.5586285857941133,-1.6302972122783166,0.0,0.0,0.0,0.0,-4.209691282548089,-3.8371715363944006,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206846,6,38894.844,1,False
-0.5018953439018994,0.5675543954798211,-1.5586285857941133,-1.6302972122783166,0.0,0.0,0.0,0.0,-4.209691282548089,-3.857166158382438,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206846,6,38897.152,1,False
-0.515468031160615,0.5235498439101899,-1.5773742331847849,-1.6383687584513182,0.0,0.0,0.0,0.0,-4.209691282548089,-3.857166158382438,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206846,6,38899.332,1,False
-0.515468031160615,0.4942134761970961,-1.5773742331847849,-1.6545118507973218,0.0,0.0,0.0,0.0,-4.209691282548089,-3.857166158382438,-5.778291091028105,-5.691181365797439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206846,6,38901.621,1,False
-0.5290407184193326,0.4795452923405586,-1.5836227823150086,-1.6545118507973218,0.0,0.0,0.0,0.0,-4.209691282548089,-3.857166158382438,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206846,6,38903.918,1,False
-0.5426134056780464,0.43554074077092103,-1.5961198805754562,-1.678726489316327,0.0,0.0,0.0,0.0,-4.225820951717363,-3.857166158382438,-5.778291091028105,-5.691181365797439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206846,6,38906.074,1,False
-0.5561860929367658,0.39153618920128974,-1.6023684297056826,-1.678726489316327,0.0,0.0,0.0,0.0,-4.225820951717363,-3.877160780370469,-5.778291091028105,-5.691181365797439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206846,6,38908.363,1,False
-0.5607103220230024,0.37686800534474596,-1.6148655279661277,-1.6867980354893288,0.0,0.0,0.0,0.0,-4.225820951717363,-3.877160780370469,-5.778291091028105,-5.691181365797439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206847,6,38910.547,1,False
-0.5788072383679586,0.3475316376316522,-1.6211140770963541,-1.7029411278353324,0.0,0.0,0.0,0.0,-4.241950620886632,-3.877160780370469,-5.778291091028105,-5.691181365797439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206847,6,38912.801,1,False
-0.5878556965404357,0.3328634537751084,-1.6211140770963541,-1.727155766354341,0.0,0.0,0.0,0.0,-4.241950620886632,-3.877160780370469,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206847,6,38915.098,1,False
-0.6014283837991513,0.2888589022054771,-1.6273626262265752,-1.743298858700348,0.0,0.0,0.0,0.0,-4.258080290055906,-3.877160780370469,-5.778291091028105,-5.708118578513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206847,6,38917.309,1,False
-0.6104768419716284,0.25952253449238954,-1.6273626262265752,-1.7190842201813359,0.0,0.0,0.0,0.0,-4.258080290055906,-3.8971554023585067,-5.778291091028105,-5.691181365797439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206847,6,38919.602,1,False
-0.6195253001441093,0.23018616677929576,-1.5961198805754588,-1.678726489316327,0.0,0.0,0.0,0.0,-4.258080290055906,-3.8971554023585067,-5.762231677807236,-5.691181365797439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206847,6,38921.863,1,False
-0.6285737583165846,0.20084979906620823,-1.571125684054561,-1.6302972122783166,0.0,0.0,0.0,0.0,-4.258080290055906,-3.8971554023585067,-5.762231677807236,-5.691181365797439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206847,6,38924.367,1,False
-0.6376222164890636,0.18618161520966447,-1.49614309449187,-1.557653296721294,0.0,0.0,0.0,0.0,-4.274209959225175,-3.8971554023585067,-5.762231677807236,-5.674244153081696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206847,6,38927.027,1,False
-0.6557191328340177,0.14217706364003319,-1.4649003488407484,-1.5253671120292835,0.0,0.0,0.0,0.0,-4.274209959225175,-3.9171500243465376,-5.74617226458636,-5.674244153081696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206847,6,38929.566,1,False
-0.6647675910064967,0.11284069592693939,-1.477397447101196,-1.5253671120292835,0.0,0.0,0.0,0.0,-4.274209959225175,-3.9171500243465376,-5.74617226458636,-5.674244153081696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206847,6,38932.609,1,False
-0.6738160491789739,0.08350432821385811,-1.4399061523198533,-1.476937834991273,0.0,0.0,0.0,0.0,-4.290339628394449,-3.9171500243465376,-5.74617226458636,-5.674244153081696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206848,6,38935.598,1,False
-0.6873887364376914,0.05416796050077057,-1.4086634066687316,-1.4446516502992626,0.0,0.0,0.0,0.0,-4.290339628394449,-3.9171500243465376,-5.730112851365485,-5.6573069403659515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206848,6,38938.492,1,False
-0.700961423696407,0.010163408931126768,-1.3711721118873887,-1.3881508270882468,0.0,0.0,0.0,0.0,-4.306469297563717,-3.937144646334575,-5.730112851365485,-5.6573069403659515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765206848,6,38941.84,1,False
