AccG_Lateral,AccG_Vertical,AccG_Longitudinal,LocalVelocity_X,LocalVelocity_Y,LocalVelocity_Z,AngularVel_X,AngularVel_Y,AngularVel_Z,Heading,Pitch,Roll,TireLoad_FL,TireLoad_FR,TireLoad_RL,TireLoad_RR,Timestamp,CompletedLaps,DistanceTraveled_m,CurrentSectorIndex,IsInPit
0.31301571208622814,0.1548535593357392,0.33689427877595346,-0.4354700060608464,2.002698432241151,-2.2755192381129263,0.1796337939600834,0.20717202518580993,0.3620164856062115,-1.2901320195825916,0.36433200988209735,-1.5101628869389148,-1.3223748516460876,-0.8543061191966469,-1.7660055438928304,-1.62255348671169,1765206845,6,38876.941,1,False
0.3254509551265444,-0.06627100705324011,0.4719084399948715,-0.4288797408924859,2.0838161889918347,-2.2715223633011328,-0.33021563207422777,0.1816082029801374,-0.32079398083579974,-1.2896090355839394,0.36433200988209735,-1.5101628869389148,-1.469079906070369,-0.9263735629292092,-1.7465651926408339,-1.6424227965469382,1765206845,6,38879.184,1,False
0.3247964686507383,-0.09206887313195436,-0.25591624366207727,-0.42558460830830563,1.9756591799909233,-2.2708399700405826,-0.3106060387652158,0.18799915853155555,-0.29348156217811927,-1.2885630675866337,0.49810133656807076,-1.3770530296329502,-1.5978811722389372,-1.0297927153250324,-1.5655901308411797,-1.5715918562985174,1765206845,6,38881.348,1,False
0.33461376578783003,-0.05152936929397482,-0.4705082879835364,-0.415699210555765,2.022012183848457,-2.274446905846347,0.27768176050514315,0.17841272520442836,-0.1978880968762377,-1.2875170995893286,0.6318706632540438,-1.3326830771976286,-1.5147816813546895,-1.0772055072543494,-1.7144829944764122,-1.5113540639449698,1765206845,6,38883.629,1,False
0.32152403627170767,0.1032578271783107,0.04719501894198367,-0.4140516442636748,2.052914186420146,-2.2767377975067657,0.4737776935952629,0.19439011408297366,0.22545439231780928,-1.2864711315920234,0.7656399899400173,-1.3326830771976286,-1.346698090296119,-0.9391157507602133,-1.796065046551264,-1.537922824070489,1765206845,6,38885.922,1,False
0.3293778739813811,-0.09206887313195436,0.4567081701887681,-0.415699210555765,2.029737684491379,-2.274008224464565,-0.05568132574806023,0.20397654741010085,0.04792367104288634,-1.2859481475933705,0.7656399899400173,-1.3770530296329502,-1.4347446805668138,-1.003182285854703,-1.771624142520575,-1.593751576489414,1765206846,6,38888.082,1,False
0.35359387358620753,-0.11049592033103596,0.20903318570108406,-0.404166246511134,2.029737684491379,-2.2697676377740037,-0.3498252253832398,0.22954036961577332,-0.03401358493015501,-1.2854251635947183,0.7656399899400173,-1.3770530296329502,-1.556773132099175,-1.0901254930550883,-1.6970653387304038,-1.4966954376688213,1765206846,6,38890.375,1,False
0.35555733301362585,-0.19157492800699505,-0.3444354619446791,-0.4107565116794945,1.8675021709900117,-2.27161984805264,0.983627119629574,0.210367502961519,2.1782923263419613,-1.2854251635947183,0.36433200988209735,-1.6876426966802003,-1.1215461741724626,-1.4182812791958752,-2.174252920184754,-1.1385897785632244,1765206846,6,38892.684,1,False
0.39809895394102357,-1.2529728466740957,-0.31939972344050893,-0.3547392577484302,2.191973197992746,-2.274593132973608,2.3955178378784354,0.2806680140271183,-0.020357375601314783,-1.2854251635947183,-0.43828395023374217,-2.1313422210334156,-1.3920465013385503,-1.4255709959550076,-2.3736569854834104,-2.008086809826174,1765206846,6,38894.844,1,False
0.3607932248200748,1.2125660685630233,-0.4722965550195486,-0.4700688981947391,2.4160127166374914,-2.2761041466219694,0.33651054043217915,0.3605549584198448,2.3831354662745645,-1.2875170995893286,-0.7058226036056887,-2.6194116978219517,-0.9177727946830955,-0.6649512814289363,-1.620652397393077,-1.1632689501453337,1765206846,6,38897.152,1,False
0.4033348457474726,-0.1842041091273624,-0.2362453062659435,-0.39263328246650314,1.5275801427014328,-2.2766403127552586,-0.8008458714905149,0.3126227917842089,-1.058229284593172,-1.2890860515852864,0.49810133656807076,-2.6194116978219517,-1.5048874825817955,-1.180565393660261,-1.499515410978903,-1.5639189816070962,1765206846,6,38899.332,1,False
0.41904252116681945,0.7887439829841465,0.5505921895794064,-0.35968195662470054,2.2421889521717406,-2.272399726064697,0.6306544400673586,0.32860018066275415,-0.7304802607010065,-1.2906550035812445,0.8994093166259907,-2.663781650257273,-1.6584831397229138,-0.5225943736611616,-1.4491727672743115,-1.3963754640914299,1765206846,6,38901.621,1,False
