Timestamp,Speed_kmh,RPM,Throttle,Brake,Steering,Gear,CompletedLaps,iCurrentTime_ms,CurrentLapTime_str,iLastTime_ms,iBestTime_ms,DistanceTraveled_m,LapNumberTotal,CurrentSectorIndex,LastSectorTime_ms,IsInPit,IsInPitLane,TyreCompound,CarX,CarY,CarZ,Flag,SurfaceGrip,Distance,DistanceTraveled_m_Original
1758041013,220.76,11449,1.0,0.0,0.069,5,0,31269,0:31.269,0,0,7512.251,0,0,0,False,False,Soft (S),-190.67710876464844,-10.47372817993164,778.9617919921875,0,1.0,0.0,7512.251
1758041013,222.5,11553,1.0,0.0,0.061,5,0,31368,0:31.368,0,0,7518.241,0,0,0,False,False,Soft (S),-192.75961303710938,-10.439724922180176,773.2330932617188,0,1.0,5.99,7518.241
1758041013,224.23,11633,1.0,0.0,0.056,5,0,31467,0:31.467,0,0,7524.394,0,0,0,False,False,Soft (S),-194.70506286621094,-10.409244537353516,767.406005859375,0,1.0,12.143,7524.394
1758041013,226.04,11738,1.0,0.0,0.062,5,0,31569,0:31.569,0,0,7530.684,0,0,0,False,False,Soft (S),-196.5638885498047,-10.371421813964844,761.3030395507812,0,1.0,18.433,7530.684
1758041013,227.85,11827,1.0,0.0,0.056,5,0,31668,0:31.668,0,0,7536.931,0,0,0,False,False,Soft (S),-198.23582458496094,-10.332051277160645,755.2896118164062,0,1.0,24.68,7536.931
1758041013,229.71,11920,1.0,0.0,0.053,5,0,31767,0:31.767,0,0,7543.331,0,0,0,False,False,Soft (S),-199.7819366455078,-10.295333862304688,749.1912231445312,0,1.0,31.08,7543.331
1758041013,231.51,12015,1.0,0.0,0.056,5,0,31872,0:31.872,0,0,7549.958,0,0,0,False,False,Soft (S),-201.28309631347656,-10.257699966430664,742.6336669921875,0,1.0,37.707,7549.958
1758041014,233.32,12102,1.0,0.0,0.06,5,0,31971,0:31.971,0,0,7556.293,0,0,0,False,False,Soft (S),-202.56549072265625,-10.222625732421875,736.370361328125,0,1.0,44.042,7556.293
1758041014,234.94,12617,1.0,0.0,0.052,0,0,32070,0:32.070,0,0,7562.922,0,0,0,False,False,Soft (S),-203.7157745361328,-10.191547393798828,730.03466796875,0,1.0,50.671,7562.922
1758041014,236.07,10858,1.0,0.0,0.045,6,0,32172,0:32.172,0,0,7569.375,0,0,0,False,False,Soft (S),-204.754638671875,-10.154192924499512,723.4478149414062,0,1.0,57.124,7569.375
1758041014,237.57,10967,1.0,0.0,0.041,6,0,32274,0:32.274,0,0,7576.266,0,0,0,False,False,Soft (S),-205.66024780273438,-10.1199312210083,716.7979125976562,0,1.0,64.015,7576.266
1758041014,239.27,10978,1.0,0.0,0.03,6,0,32370,0:32.370,0,0,7582.553,0,0,0,False,False,Soft (S),-206.40562438964844,-10.093132972717285,710.4837036132812,0,1.0,70.302,7582.553
1758041014,240.95,11051,1.0,0.0,0.019,6,0,32472,0:32.472,0,0,7589.225,0,0,0,False,False,Soft (S),-207.1038818359375,-10.063946723937988,703.7176513671875,0,1.0,76.974,7589.225
1758041014,242.68,11174,1.0,0.0,0.018,6,0,32574,0:32.574,0,0,7596.255,0,0,0,False,False,Soft (S),-207.72682189941406,-10.034074783325195,696.893798828125,0,1.0,84.004,7596.255
1758041014,244.43,11249,1.0,0.0,0.013,6,0,32676,0:32.676,0,0,7603.165,0,0,0,False,False,Soft (S),-208.29283142089844,-10.010028839111328,690.014404296875,0,1.0,90.914,7603.165
1758041014,246.2,11293,1.0,0.0,0.014,6,0,32772,0:32.772,0,0,7609.651,0,0,0,False,False,Soft (S),-208.78253173828125,-9.98055362701416,683.4902954101562,0,1.0,97.4,7609.651
1758041014,247.92,11352,1.0,0.0,0.012,6,0,32877,0:32.877,0,0,7616.928,0,0,0,False,False,Soft (S),-209.27859497070312,-9.939952850341797,676.3016967773438,0,1.0,104.677,7616.928
1758041015,249.61,11426,1.0,0.0,0.011,6,0,32976,0:32.976,0,0,7623.533,0,0,0,False,False,Soft (S),-209.70858764648438,-9.901166915893555,669.47412109375,0,1.0,111.282,7623.533
1758041015,251.22,11520,1.0,0.0,0.012,6,0,33075,0:33.075,0,0,7630.516,0,0,0,False,False,Soft (S),-210.1023712158203,-9.861227989196777,662.599609375,0,1.0,118.265,7630.516
1758041015,252.88,11587,1.0,0.0,0.01,6,0,33177,0:33.177,0,0,7637.734,0,0,0,False,False,Soft (S),-210.4761962890625,-9.833220481872559,655.4683227539062,0,1.0,125.483,7637.734
1758041015,254.44,11661,1.0,0.0,0.009,6,0,33276,0:33.276,0,0,7644.666,0,0,0,False,False,Soft (S),-210.8070526123047,-9.796813011169434,648.5001831054688,0,1.0,132.415,7644.666
1758041015,256.1,11733,1.0,0.0,0.007,6,0,33375,0:33.375,0,0,7651.75,0,0,0,False,False,Soft (S),-211.10842895507812,-9.758788108825684,641.4876098632812,0,1.0,139.499,7651.75
1758041015,257.67,11806,1.0,0.0,0.008,6,0,33477,0:33.477,0,0,7659.115,0,0,0,False,False,Soft (S),-211.38865661621094,-9.732629776000977,634.2145385742188,0,1.0,146.864,7659.115
1758041015,259.25,11847,1.0,0.0,0.012,6,0,33576,0:33.576,0,0,7666.012,0,0,0,False,False,Soft (S),-211.626708984375,-9.684160232543945,627.1107177734375,0,1.0,153.761,7666.012
1758041015,260.74,11956,1.0,0.0,0.008,6,0,33678,0:33.678,0,0,7673.525,0,0,0,False,False,Soft (S),-211.83819580078125,-9.614543914794922,619.7481079101562,0,1.0,161.274,7673.525
1758041015,262.23,12054,1.0,0.0,0.005,6,0,33777,0:33.777,0,0,7680.644,0,0,0,False,False,Soft (S),-212.0121612548828,-9.556644439697266,612.5585327148438,0,1.0,168.393,7680.644
1758041015,263.72,12116,1.0,0.0,0.007,6,0,33882,0:33.882,0,0,7688.421,0,0,0,False,False,Soft (S),-212.1614532470703,-9.499707221984863,604.8875122070312,0,1.0,176.17,7688.421
1758041016,265.0,12975,1.0,0.0,0.005,0,0,33981,0:33.981,0,0,7695.492,0,0,0,False,False,Soft (S),-212.2753143310547,-9.443879127502441,597.6143798828125,0,1.0,183.241,7695.492
1758041016,266.01,10653,1.0,0.0,0.005,7,0,34083,0:34.083,0,0,7703.209,0,0,0,False,False,Soft (S),-212.37184143066406,-9.388334274291992,590.0928955078125,0,1.0,190.958,7703.209
1758041016,267.15,10683,1.0,0.0,0.004,7,0,34182,0:34.182,0,0,7710.365,0,0,0,False,False,Soft (S),-212.4466552734375,-9.335243225097656,582.7615966796875,0,1.0,198.114,7710.365
1758041016,268.25,10736,1.0,0.0,0.004,7,0,34284,0:34.284,0,0,7718.042,0,0,0,False,False,Soft (S),-212.50453186035156,-9.285232543945312,575.1759643554688,0,1.0,205.791,7718.042
1758041016,269.4,10768,1.0,0.0,0.004,7,0,34380,0:34.380,0,0,7725.257,0,0,0,False,False,Soft (S),-212.54104614257812,-9.241487503051758,568.0068359375,0,1.0,213.006,7725.257
1758041016,270.48,10838,1.0,0.0,0.005,7,0,34482,0:34.482,0,0,7732.889,0,0,0,False,False,Soft (S),-212.5581817626953,-9.193376541137695,560.3587036132812,0,1.0,220.638,7732.889
1758041016,271.6,10870,1.0,0.0,0.008,7,0,34578,0:34.578,0,0,7740.239,0,0,0,False,False,Soft (S),-212.55343627929688,-9.154095649719238,553.1307373046875,0,1.0,227.988,7740.239
1758041016,272.75,10865,1.0,0.0,0.007,7,0,34683,0:34.683,0,0,7747.99,0,0,0,False,False,Soft (S),-212.52381896972656,-9.107198715209961,545.1936645507812,0,1.0,235.739,7747.99
1758041016,273.86,10924,1.0,0.0,0.005,7,0,34785,0:34.785,0,0,7755.792,0,0,0,False,False,Soft (S),-212.4700927734375,-9.069586753845215,537.451904296875,0,1.0,243.541,7755.792
1758041016,274.69,11182,1.0,0.0,0.011,7,0,34887,0:34.887,0,0,7763.564,0,0,0,False,False,Soft (S),-212.3873748779297,-9.020394325256348,529.677978515625,0,1.0,251.313,7763.564
1758041017,276.07,10997,1.0,0.0,0.006,7,0,34986,0:34.986,0,0,7771.164,0,0,0,False,False,Soft (S),-212.28001403808594,-8.993850708007812,522.1043090820312,0,1.0,258.913,7771.164
1758041017,277.13,11031,1.0,0.0,0.001,7,0,35082,0:35.082,0,0,7778.49,0,0,0,False,False,Soft (S),-212.14993286132812,-8.95226764678955,514.7306518554688,0,1.0,266.239,7778.49
1758041017,278.21,11091,1.0,0.0,-0.0,7,0,35190,0:35.190,0,0,7786.504,0,0,0,False,False,Soft (S),-211.98226928710938,-8.91671371459961,506.40460205078125,0,1.0,274.253,7786.504
1758041017,279.17,11203,1.0,0.0,0.004,7,0,35286,0:35.286,0,0,7794.333,0,0,0,False,False,Soft (S),-211.81658935546875,-8.874690055847168,498.9730529785156,0,1.0,282.082,7794.333
1758041017,280.29,11246,1.0,0.0,0.009,7,0,35385,0:35.385,0,0,7802.098,0,0,0,False,False,Soft (S),-211.63247680664062,-8.827967643737793,491.28118896484375,0,1.0,289.847,7802.098
1758041017,281.42,11232,1.0,0.0,0.012,7,0,35490,0:35.490,0,0,7809.633,0,0,0,False,False,Soft (S),-211.41160583496094,-8.793630599975586,483.091552734375,0,1.0,297.382,7809.633
1758041017,282.48,11286,1.0,0.0,0.012,7,0,35589,0:35.589,0,0,7817.79,0,0,0,False,False,Soft (S),-211.16384887695312,-8.753402709960938,475.34100341796875,0,1.0,305.539,7817.79
1758041017,283.52,11320,1.0,0.0,0.011,7,0,35688,0:35.688,0,0,7825.341,0,0,0,False,False,Soft (S),-210.8704376220703,-8.712447166442871,467.5636291503906,0,1.0,313.09,7825.341
1758041017,284.55,11383,1.0,0.0,0.01,7,0,35787,0:35.787,0,0,7833.468,0,0,0,False,False,Soft (S),-210.53146362304688,-8.676419258117676,459.75994873046875,0,1.0,321.217,7833.468
1758041017,285.57,11396,1.0,0.0,0.011,7,0,35892,0:35.892,0,0,7841.728,0,0,0,False,False,Soft (S),-210.12332153320312,-8.639394760131836,451.454833984375,0,1.0,329.477,7841.728
1758041018,286.61,11420,1.0,0.0,0.006,7,0,35988,0:35.988,0,0,7849.58,0,0,0,False,False,Soft (S),-209.70936584472656,-8.607484817504883,443.8372497558594,0,1.0,337.329,7849.58
1758041018,287.58,11478,1.0,0.0,0.003,7,0,36093,0:36.093,0,0,7857.835,0,0,0,False,False,Soft (S),-209.2146453857422,-8.568856239318848,435.4779968261719,0,1.0,345.584,7857.835
1758041018,288.6,11498,1.0,0.0,0.009,7,0,36192,0:36.192,0,0,7865.542,0,0,0,False,False,Soft (S),-208.7162628173828,-8.535198211669922,427.5708312988281,0,1.0,353.291,7865.542
1758041018,289.56,11546,1.0,0.0,0.011,7,0,36294,0:36.294,0,0,7873.917,0,0,0,False,False,Soft (S),-208.1695098876953,-8.499133110046387,419.3982238769531,0,1.0,361.666,7873.917
