Timestamp,Speed_kmh,RPM,Throttle,Brake,Steering,Gear,CompletedLaps,iCurrentTime_ms,CurrentLapTime_str,iLastTime_ms,iBestTime_ms,DistanceTraveled_m,LapNumberTotal,CurrentSectorIndex,LastSectorTime_ms,IsInPit,IsInPitLane,TyreCompound,X,Y,Z,Flag,SurfaceGrip,Distance
1757696171,307.83,10923,1.0,0.0,0.01,8,1,45,0:00.045,81817,81817,23555.615,0,0,25511,False,False,Soft (S),-206.90054321289065,-8.444518089294434,408.9535827636719,0,1.0,23555.615
1757696171,308.33,10953,1.0,0.0,0.007,8,1,150,0:00.150,81817,81817,23564.594,0,0,25511,False,False,Soft (S),-206.1968231201172,-8.399768829345703,399.9953002929688,0,1.0,23564.594
1757696171,308.85,10953,1.0,0.0,0.008,8,1,249,0:00.249,81817,81817,23573.129,0,0,25511,False,False,Soft (S),-205.4918365478516,-8.356037139892578,391.5378723144531,0,1.0,23573.129
1757696171,309.36,10969,1.0,0.0,0.004,8,1,348,0:00.348,81817,81817,23581.686,0,0,25511,False,False,Soft (S),-204.75387573242188,-8.314733505249023,383.0698852539063,0,1.0,23581.686
1757696171,309.83,11001,1.0,0.0,0.01,8,1,447,0:00.447,81817,81817,23590.254,0,0,25511,False,False,Soft (S),-203.98800659179688,-8.269152641296387,374.5904235839844,0,1.0,23590.254
1757696171,310.3,11038,1.0,0.0,0.007,8,1,546,0:00.546,81817,81817,23598.799,0,0,25511,False,False,Soft (S),-203.19772338867188,-8.22584056854248,366.0999145507813,0,1.0,23598.799
1757696171,310.76,11076,1.0,0.0,0.003,8,1,651,0:00.651,81817,81817,23607.871,0,0,25511,False,False,Soft (S),-202.33267211914065,-8.1835355758667,357.0830993652344,0,1.0,23607.871
1757696171,311.27,11059,1.0,0.0,0.007,8,1,753,0:00.753,81817,81817,23616.488,0,0,25511,False,False,Soft (S),-201.46446228027344,-8.147626876831055,348.31256103515625,0,1.0,23616.488
1757696172,311.77,11055,1.0,0.0,0.004,8,1,852,0:00.852,81817,81817,23625.199,0,0,25511,False,False,Soft (S),-200.59719848632807,-8.109158515930176,339.7894592285156,0,1.0,23625.199
1757696172,312.22,11059,1.0,0.0,0.002,8,1,951,0:00.951,81817,81817,23633.834,0,0,25511,False,False,Soft (S),-199.71263122558597,-8.066658020019531,331.2557678222656,0,1.0,23633.834
1757696172,312.66,11092,1.0,0.0,-0.003,8,1,1053,0:01.053,81817,81817,23642.482,0,0,25511,False,False,Soft (S),-198.7922821044922,-8.010265350341797,322.4515380859375,0,1.0,23642.482
1757696172,313.11,11094,1.0,0.0,-0.0,8,1,1155,0:01.155,81817,81817,23651.332,0,0,25511,False,False,Soft (S),-197.8670196533203,-7.968564510345459,313.6347961425781,0,1.0,23651.332
1757696172,313.53,11119,1.0,0.0,0.0,8,1,1254,0:01.254,81817,81817,23660.061,0,0,25511,False,False,Soft (S),-196.9679412841797,-7.9294114112854,305.0653991699219,0,1.0,23660.061
1757696172,313.95,11145,1.0,0.0,0.001,8,1,1356,0:01.356,81817,81817,23668.824,0,0,25511,False,False,Soft (S),-196.0377197265625,-7.882383823394775,296.2242736816406,0,1.0,23668.824
1757696172,314.37,11160,1.0,0.0,0.002,8,1,1455,0:01.455,81817,81817,23677.57,0,0,25511,False,False,Soft (S),-195.12847900390625,-7.838672637939453,287.63238525390625,0,1.0,23677.57
1757696172,314.76,11188,1.0,0.0,0.003,8,1,1554,0:01.554,81817,81817,23686.367,0,0,25511,False,False,Soft (S),-194.2115173339844,-7.783206939697266,279.030029296875,0,1.0,23686.367
1757696172,315.19,11182,1.0,0.0,0.001,8,1,1656,0:01.656,81817,81817,23695.145,0,0,25511,False,False,Soft (S),-193.2574920654297,-7.738264560699463,270.1567687988281,0,1.0,23695.145
1757696172,315.59,11181,1.0,0.0,-0.001,8,1,1758,0:01.758,81817,81817,23703.986,0,0,25511,False,False,Soft (S),-192.2961578369141,-7.689732551574707,261.27252197265625,0,1.0,23703.986
1757696173,315.97,11205,1.0,0.0,-0.001,8,1,1857,0:01.857,81817,81817,23712.756,0,0,25511,False,False,Soft (S),-191.3606414794922,-7.6440205574035645,252.63912963867188,0,1.0,23712.756
1757696173,316.37,11275,1.0,0.0,-0.002,8,1,1956,0:01.956,81817,81817,23721.543,0,0,25511,False,False,Soft (S),-190.42730712890625,-7.599709510803223,243.99444580078125,0,1.0,23721.543
1757696173,316.98,11259,1.0,0.0,0.0,8,1,2058,0:02.058,81817,81817,23730.496,0,0,25511,False,False,Soft (S),-189.4706268310547,-7.54645824432373,235.07293701171875,0,1.0,23730.496
1757696173,317.55,11268,1.0,0.0,-0.0,8,1,2160,0:02.160,81817,81817,23739.375,0,0,25511,False,False,Soft (S),-188.51768493652344,-7.496230602264404,226.1346435546875,0,1.0,23739.375
1757696173,318.12,11293,1.0,0.0,-0.003,8,1,2262,0:02.262,81817,81817,23748.32,0,0,25511,False,False,Soft (S),-187.56838989257807,-7.448732852935791,217.17922973632807,0,1.0,23748.32
1757696173,318.68,11311,1.0,0.0,-0.002,8,1,2358,0:02.358,81817,81817,23756.924,0,0,25511,False,False,Soft (S),-186.68280029296875,-7.4000725746154785,208.73501586914065,0,1.0,23756.924
1757696173,319.2,11335,1.0,0.0,-0.003,8,1,2463,0:02.463,81817,81817,23766.221,0,0,25511,False,False,Soft (S),-185.72622680664065,-7.350242137908935,199.48199462890625,0,1.0,23766.221
1757696173,319.74,11354,1.0,0.0,-0.001,8,1,2559,0:02.559,81817,81817,23774.779,0,0,25511,False,False,Soft (S),-184.8642578125,-7.297757625579834,191.00637817382807,0,1.0,23774.779
1757696173,320.22,11406,1.0,0.0,-0.001,8,1,2661,0:02.661,81817,81817,23783.709,0,0,25511,False,False,Soft (S),-183.9595184326172,-7.24146032333374,181.98529052734372,0,1.0,23783.709
1757696173,320.77,11409,1.0,0.0,-0.001,8,1,2760,0:02.760,81817,81817,23792.732,0,0,25511,False,False,Soft (S),-183.08946228027344,-7.1922807693481445,173.21444702148438,0,1.0,23792.732
1757696174,321.27,11421,1.0,0.0,-0.001,8,1,2862,0:02.862,81817,81817,23801.717,0,0,25511,False,False,Soft (S),-182.19798278808597,-7.144445896148682,164.16265869140625,0,1.0,23801.717
1757696174,321.78,11423,1.0,0.0,-0.001,8,1,2964,0:02.964,81817,81817,23810.764,0,0,25511,False,False,Soft (S),-181.309814453125,-7.096680641174316,155.0962677001953,0,1.0,23810.764
1757696174,322.26,11447,1.0,0.0,0.0,8,1,3066,0:03.066,81817,81817,23819.85,0,0,25511,False,False,Soft (S),-180.42459106445312,-7.043712615966797,146.0154266357422,0,1.0,23819.85
1757696174,322.75,11452,1.0,0.0,-0.0,8,1,3168,0:03.168,81817,81817,23829.004,0,0,25511,False,False,Soft (S),-179.53994750976562,-6.996529579162598,136.92039489746094,0,1.0,23829.004
1757696174,323.21,11466,1.0,0.0,-0.001,8,1,3264,0:03.264,81817,81817,23837.766,0,0,25511,False,False,Soft (S),-178.7073974609375,-6.949976921081543,128.34811401367188,0,1.0,23837.766
1757696174,323.66,11498,1.0,0.0,-0.002,8,1,3366,0:03.366,81817,81817,23846.945,0,0,25511,False,False,Soft (S),-177.82337951660156,-6.8996686935424805,119.22681427001952,0,1.0,23846.945
1757696174,324.12,11516,1.0,0.0,0.001,8,1,3465,0:03.465,81817,81817,23855.869,0,0,25511,False,False,Soft (S),-176.9652862548828,-6.848759174346924,110.36114501953124,0,1.0,23855.869
1757696174,324.55,11544,1.0,0.0,0.003,8,1,3570,0:03.570,81817,81817,23865.127,0,0,25511,False,False,Soft (S),-176.05078125,-6.795975685119629,100.94514465332033,0,1.0,23865.127
1757696174,325.02,11519,1.0,0.0,0.003,8,1,3669,0:03.669,81817,81817,23874.051,0,0,25511,False,False,Soft (S),-175.17726135253906,-6.754760265350342,92.0562515258789,0,1.0,23874.051
1757696174,325.39,11589,1.0,0.0,0.003,8,1,3771,0:03.771,81817,81817,23883.289,0,0,25511,False,False,Soft (S),-174.2574920654297,-6.693497657775879,82.88783264160156,0,1.0,23883.289
1757696175,325.84,11583,1.0,0.0,0.003,8,1,3870,0:03.870,81817,81817,23892.271,0,0,25511,False,False,Soft (S),-173.3451385498047,-6.645592212677002,73.97931671142578,0,1.0,23892.271
1757696175,326.26,11556,1.0,0.0,0.002,8,1,3969,0:03.969,81817,81817,23901.32,0,0,25511,False,False,Soft (S),-172.4153594970703,-6.604470252990723,65.06161499023438,0,1.0,23901.32
1757696175,326.64,11602,1.0,0.0,0.001,8,1,4068,0:04.068,81817,81817,23910.408,0,0,25511,False,False,Soft (S),-171.46986389160156,-6.543859004974365,56.13458633422852,0,1.0,23910.408
1757696175,327.04,11615,1.0,0.0,-0.001,8,1,4173,0:04.173,81817,81817,23919.857,0,0,25511,False,False,Soft (S),-170.46006774902344,-6.493068218231201,46.65510940551758,0,1.0,23919.857
1757696175,327.43,11644,1.0,0.0,-0.001,8,1,4272,0:04.272,81817,81817,23928.768,0,0,25511,False,False,Soft (S),-169.50570678710938,-6.442893505096436,37.7061653137207,0,1.0,23928.768
1757696175,327.82,11656,1.0,0.0,-0.001,8,1,4371,0:04.371,81817,81817,23937.771,0,0,25511,False,False,Soft (S),-168.5518341064453,-6.393153667449951,28.74654769897461,0,1.0,23937.771
